NOME FERMATA,COMUNE
Madonna Marina Cimitero,Chioggia
Sottomarina Da Verrazzano,Chioggia
Sottomarina Calliope,Chioggia
DISTR.METANO,Chioggia
DISTR.GASOLIO,Chioggia
Chioggia Zarlino,Chioggia
Lungomare Adriatico,Chioggia
Ridotto Madonna,Chioggia
Chioggia Venturini,Chioggia
Chioggia Venturini,Chioggia
Valli Porcellana,Chioggia
Valli Porcellana,Chioggia
Chioggia Valli,Chioggia
Chioggia Valli,Chioggia
Chioggia Campo Marconi,Chioggia
Ca' Bianca campi Sportivi,Chioggia
Ca Bianca Amolara,Chioggia
Ca Bianca Amolara,Chioggia
Ca Bianca Civico 139,Chioggia
Rebosola Civico 139,Chioggia
Ca' Bianca Provinciale 7,Chioggia
Ca' Bianca Provinciale 7,Chioggia
Ca' Bianca Ponte,Chioggia
Ca' Bianca Ponte,Chioggia
Ca' Bianca Civico 17,Chioggia
Ca' Bianca Civico 17,Chioggia
Rebosola Ca' Amelia,Chioggia
Rebosola Ca' Amelia,Chioggia
Rebosola Idrovora,Chioggia
Rebosola Idrovora,Chioggia
Ca' Pasqua Provinciale 7,Chioggia
Ca' Pasqua Provinciale 7,Chioggia
Chioggia  Civico 12,Chioggia
Chioggia Civico 12,Chioggia
Romea del Bosco,Chioggia
Romea del Bosco,Chioggia
Romea Cimitero,Chioggia
Romea Cimitero,Chioggia
Romea Pegorina,Chioggia
Romea Pegorina,Chioggia
Romea Canal di Valle,Chioggia
Romea Canal diValle,Chioggia
Romea Marinetta,Chioggia
Romea Marinetta,Chioggia
Romea Primavera,Chioggia
Romea Primavera,Chioggia
Romea Sant' Anna,Chioggia
Romea Sant' Anna,Chioggia
Romea Fisola,Chioggia
Romea Fisola,Chioggia
Romea Ca' Lino,Chioggia
Romea Ca' Lino,Chioggia
Romea Sant'Anna,Chioggia
Romea Sant'Anna,Chioggia
Romea Vecchia Romea,Chioggia
Vecchia Romea,Chioggia
Romea Civico 6,Chioggia
Lungo Brenta Civico 6,Chioggia
Chioggia San Giuseppe,Chioggia
Lungo Brenta San Giuseppe,Chioggia
Chioggia Brenta,Chioggia
San Giuseppe Lungo Brenta,Chioggia
Chioggia Civico 78,Chioggia
Chioggia Civico 78,Chioggia
Chioggia Civico 64,Chioggia
Chioggia Civico 64,Chioggia
Ca' Lino 1 Maggio,Chioggia
San Giuseppe 1 Maggio,Chioggia
Chioggia Ca' Lino,Chioggia
San  Giuseppe Ca' Lino,Chioggia
Ca' Lino Colmello,Chioggia
Nazioni Unite Colmello,Chioggia
Isola Verde Isamar,Chioggia
Isola Verde Isamar,Chioggia
Isola Verde Civico 22,Chioggia
Isola Verde Civico 22,Chioggia
Isola Verde Civico 7,Chioggia
Isola Verde Civico 7,Chioggia
Isola Verde,Chioggia
Rebosola 21,Chioggia
Rebosola 21,Chioggia
Rebosola Darsena,Chioggia
Brondolo Darsena,Chioggia
Brondolo Ponte,Chioggia
Brondolo Ponte,Chioggia
Chioggia Ponte Trezze,Chioggia
Chioggia Ponte Trezze,Chioggia
Chioggia della Larga,Chioggia
Chioggia della Larga,Chioggia
Chioggia Borgo San Giovan,Chioggia
Brondolo Ortofrutticolo,Chioggia
Sottomarina,Chioggia
Chioggia San Domenico,Chioggia
Chioggia San Domenico,Chioggia
Isola Unione Parcheggio,Chioggia
Isola Unione Parcheggio,Chioggia
Isola Unione,Chioggia
Isola Unione UNIONE E,Chioggia
Isola Unione,Chioggia
Isola Unione,Chioggia
Sottomarina Piemonte,Chioggia
Sottomarina Brerscia,Chioggia
Sottomarina Brescia,Chioggia
Sottomarina San Marco,Chioggia
Sottomarina Bergamo,Chioggia
Sottomarina Isonzo,Chioggia
Sottomarina Piemonte,Chioggia
Sottomarina Altair,Chioggia
Sottomarina Pisani,Chioggia
Sottomarina Pigafetta,Chioggia
Sottomarina Vega,Chioggia
Sottomarina Pisani,Chioggia
Sottomarina Tirreno,Chioggia
Sottomarina Boschetto,Chioggia
Sottomarina Pisani,Chioggia
Sottomarina Vespucci,Chioggia
Sottomarina Da Verrazzano,Chioggia
Sottomarina Zeno,Chioggia
Sottomarina Schiavo,Chioggia
Sottomarina Celsi,Chioggia
Sottomarina Celsi,Chioggia
Sottomarina Schiavo,Chioggia
Sottomarina Zeno,Chioggia
Sottomarina Da Verazzano,Chioggia
Sottomarina Ospedale,Chioggia
Sottomarina Ospedale,Chioggia
Sottomarina Laguna,Chioggia
Sottomarina Laguna,Chioggia
Sottomarina Cimitero,Chioggia
Romea Fossetta,Chioggia
Romea Fossetta,Chioggia
Chioggia  DeGasperi,Chioggia
Chioggia Nenni,Chioggia
Chioggia DeNicola,Chioggia
Chioggia Berlinguer,Chioggia
Chioggia FS,Chioggia
Chioggia Stadio,Chioggia
Chioggia  Campo Marconi,Chioggia
Chioggia San Giacomo,Chioggia
Chioggia San Giacomo,Chioggia
Chioggia FS,Chioggia
Chioggia Berlinguer,Chioggia
Chioggia De Nicola,Chioggia
Chioggia  Nenni,Chioggia
Chioggia Longo,Chioggia
Chioggia Cicogna,Chioggia
Romea Civico 180,Chioggia
Romea Dandolo,Chioggia
BrondoloDolfin,Chioggia
Brondolo,Chioggia
Brondolo,Chioggia
Brondolo Dolfin,Chioggia
Romea Dandolo,Chioggia
Romeai Civico 180,Chioggia
Venturini Cicogna,Chioggia
Sottomarina Isonzo,Chioggia
Baldin Cavanella,Chioggia
Gorzone Ca' Pasqua,Chioggia
Romea Centro Commerciale,Chioggia
Sottomarina Milano,Chioggia
Sottomarina Milano,Chioggia
Sottomarina Centro Anzian,Chioggia
Sottomarina Tirreno,Chioggia
Sottomarina Ionio,Chioggia
Sottomarina Pisani,Chioggia
Sottomarina Pegaso,Chioggia
Sottomarina Vega,Chioggia
Brondolo,Chioggia
Brondolo Foscarini,Chioggia
Brondolo Foscarini,Chioggia
Brondolo,Chioggia
Chioggia Vigo,Chioggia
Chioggia Campo Marconi,Chioggia
Sottomarina Zeno,Chioggia
Sottomarina Scuole,Chioggia
Corso del Popolo Municipi,Chioggia
Borgo San Giovanni,Chioggia
Granatieri di Sardegna De,Chioggia
Stra Fossolovara,Stra
San Marco Raffaello,Campagna Lupia
Olmo Vittorio Veneto,Martellago
Maerne Mulino,Martellago
Martellago Delle Motte,Martellago
Martellago Pree,Martellago
Martellago Fornace,Martellago
Mogliano Marocchesa,Mogliano Veneto
Mogliano Marignana,Mogliano Veneto
Mogliano Rimini,Mogliano Veneto
Mogliano Ronzinella,Mogliano Veneto
Gaggio Vivaldi,Marcon
San Liberale Nievo,Marcon
Marcon Stadio,Marcon
Marcon Perosi,Marcon
Mazzocco,Mogliano Veneto
Marcon Sport,Marcon
Marcon Cultura,Marcon
Marcon Oberdan,Marcon
Marcon Cooperazione,Marcon
Marcon Marmolada,Marcon
Marcon Municipio,Marcon
Marcon Raffaello,Marcon
Marcon Lomabardi,Marcon
Marcon Centro Commerciale,Marcon
San Liberale,Marcon
Gaggio Cimitero,Marcon
Gaggio,Marcon
Gaggio Fermi,Marcon
Marcon della Stazione,Marcon
Campagna Lupia Raffaello,Campagna Lupia
Stazione Padova,Padova
Padova Fiera,Padova
Padova Fiera,Padova
Crea,Spinea
Fornase Perugia,Spinea
Matteotti Cimitero,Spinea
Matteotti Palermo,Spinea
Matteotti Sarpi,Spinea
Spinea,Spinea
Spinea Piazza Marconi,Spinea
Spinea Centro,Spinea
Spinea Sanremo,Spinea
Spinea Orgnano,Spinea
Liberta' Costituzione,Spinea
Spinea Desenzano,Spinea
Spinea Villaggio Fiori,Spinea
Spinea Giorgione,Spinea
Olmo Giovanni XXIII,Martellago
Olmo Minzoni,Martellago
Olmo Papa Luciani,Martellago
Olmo Calvi,Martellago
Maerne Cimitero,Martellago
Maerne Tasso,Martellago
Maerne Chiesa,Martellago
Maerne Isonzo,Martellago
Spinea Rossignago,Spinea
Martellago,Martellago
Preganziol FS,Preganziol
Martellago Trento,Martellago
Martellago Verdi,Martellago
Martellago Vittoria,Martellago
Marcon Filzi,Marcon
Fornase Prati,Spinea
Fornase Prati,Spinea
Fornase,Spinea
Fornase Fornase,Spinea
Noale Dei Novale,Noale
Cavarzere,Cavarzere
Noale Moro,Noale
Noale Moro,Noale
Noale Ospedale,Noale
Noale Ospedale,Noale
Dolo Scuole,Dolo
Padova Ospedale,Padova
Padova Ospedale,Padova
Padova Gozzi,Padova
Padova Gozzi,Padova
Dolo Bandiera,Dolo
Dolo Bandiera,Dolo
Trieste Stazione FS,Cavarzere
Trieste Stazione FS,Cavarzere
Mira Ponte delle Porte,Mira
Mira Ponte delle Porte,Mira
Salzano Oddo Stocco,Salzano
Perarolo Danzica,Vigonza
Mirano Paganini,Mirano
Mirano Scuola Mazzini,Mirano
Mirano Mariutto,Mirano
San Liberale Morante,Marcon
San Liberale Morante,Marcon
Mira Marinai d'Italia,Mira
Mira Marinai d'Italia,Mira
Spinea San Remo,Spinea
Murano Distretto Sanitari,Spinea
Dolo Ca' Tron,Dolo
Dolo Ca' Tron,Dolo
Mirano Sport,Mirano
Salzano FS,Salzano
Salzano FS,Salzano
Preganziol Fratelli Cervi,Preganziol
Preganziol Fratelli Cervi,Preganziol
Preganziol Albrizzi,Preganziol
Preganziol Albrizzi,Preganziol
Treviso Pindemonte,Treviso
Treviso Pindemonte,Treviso
Treviso Loredan,Treviso
Treviso Loredan,Treviso
Treviso FS,Treviso
Treviso FS,Treviso
Preganziol Gabbin,Preganziol
Preganziol  Bandiera,Preganziol
Preganziol Bandiera,Preganziol
Mogliano Zermanesa,Mogliano Veneto
Noale De Pol,Noale
Meucci Alto Adige,Campolongo Maggiore
Meucci Alto Adige,Campolongo Maggiore
Scorze' Scandolara,Scorzè
Dolo Scuole,Dolo
Dolo scuole,Dolo
Marcon Vittoria,Marcon
Marcon Vittoria,Marcon
Stigliano,Santa Maria di Sala
Stigliano,Santa Maria di Sala
Marcon Repubblica,Marcon
Marcon Repubblica,Marcon
Olmo Vittorio Veneto,Martellago
Maerne Mulino,Martellago
Martellago Delle Motte,Martellago
Martellago Pree,Martellago
Martellago Fornace,Martellago
Gaggio Vivaldi,Marcon
San Liberale Nievo,Marcon
Marcon Stadio,Marcon
Marcon Perosi,Marcon
Mogliano Liceo,Mogliano Veneto
Mazzocco,Mogliano Veneto
Marcon Sport,Marcon
Marcon  Cultura,Marcon
Marcon Oberdan,Marcon
Marcon Marmolada,Marcon
Marcon Municipio,Marcon
Marcon Raffaello,Marcon
Marcon Altinia,Marcon
Gaggio Cimitero,Marcon
Gaggio,Marcon
Gaggio Fermi,Marcon
Marcon Centro Commerciale,Marcon
Marcon della Stazione,Marcon
Fornase Perugia,Spinea
Matteotti Cimitero,Spinea
Le Crete,Quarto d'Altino
Le Crete Canale,Marcon
Le Crete Canale,Marcon
Spinea Alfieri,Spinea
Spinea Sanremo,Spinea
Spinea Orgnano,Spinea
Liberta' Costituzione,Spinea
Spinea Desenzano,Spinea
Le Crete,Quarto d'Altino
Spinea Pozzuoli,Spinea
Spinea Villaggio Fiori,Spinea
Spinea Giorgione,Spinea
Spinea Pozzuoli,Spinea
Olmo Giovanni XXIII,Martellago
Olmo Minzoni,Martellago
Olmo Papa Luciani,Martellago
Olmo Calvi,Martellago
Maerne Cimitero,Martellago
Maerne Tasso,Martellago
Maerne Chiesa,Martellago
Maerne Isonzo,Martellago
Spinea Rossignago,Spinea
Corezzola Sasso,Correzzola
Martellago Grimani,Martellago
MartellagoTrento,Martellago
Martellago Verdi,Martellago
Martellago Vittoria,Martellago
Stazione Marcon SFMR,Marcon
Stazione Marcon SFMR,Marcon
Marcon Mattei,Marcon
Marcon Mattei,Marcon
San Liberale Praello,Marcon
San Liberale Praello,Marcon
Marcon Filzi,Marcon
Treviso San Lazzaro,Treviso
Treviso San Lazzaro,Treviso
Treviso San Zeno,Treviso
Treviso San Zeno,Treviso
Oriago Ferrovia,Mira
Mira Egeo,Mira
Mira Egeo,Mira
Galta Argine sinistro,Vigonovo
Galta Argine Sinistro,Vigonovo
Camponogara  47,Camponogara
Camponogara  47,Camponogara
Passetto Campelli,Adria
Adria Sabbioni,Adria
Adria Bindola,Adria
Adria Sabbioni,Adria
Adria Campelli,Adria
Adria Bindola,Adria
Grignella Strada Poli,Cavarzere
Cavarzere 60,Cavarzere
Cavarzere Cuora,Cavarzere
Cavarzere Grignella,Cavarzere
Cavarzere Passetto,Cavarzere
Cavarzere Passetto,Cavarzere
Cavarzere Botta,Cavarzere
Cavarzere Botta,Cavarzere
Cavarzere Ca' Labia,Cavarzere
Cavarzere Ca' Labia,Cavarzere
Cavarzere Margherita,Cavarzere
Cavarzere Margherita,Cavarzere
Localita' Lezze,Pettorazza Grimani
Localita' Lezze,Pettorazza Grimani
Ballo' Centro,Mirano
Ballo' Centro,Mirano
Localita' Bosconfondi,Pettorazza Grimani
Localita' Bosconfondi,Pettorazza Grimani
Botti Barbarighe,Pettorazza Grimani
Localita' Giaron,Pettorazza Grimani
Localita' Giaron,Pettorazza Grimani
Pettorazza San Girolamo,Pettorazza Grimani
Pettorazza Santuario,Pettorazza Grimani
Pettorazza,Pettorazza Grimani
Pettorazza,Pettorazza Grimani
Monte Grappa Ponte,Cavarzere
Monte Grappa Ponte,Cavarzere
Monte Grappa Piovese,Cavarzere
Monte Grappa Piovese,Cavarzere
Cavarzere Pontenovo,Cavarzere
Cavarzere Trieste,Cavarzere
Villaggio Busonera,Cavarzere
Cavarzere Boscochiaro,Cavarzere
Cavarzere Sant' Antonio,Cavarzere
Monte Grappa Canale,Cavarzere
Cavarzere Ca' Venier,Cavarzere
Caverzere  Ca' Venier,Cavarzere
Cavarzere  Coette Alte,Cavarzere
Cavarzere Coette Alte,Cavarzere
Cavarzere Piovese,Cavarzere
Coette Alte Piovese,Cavarzere
Coette Alte Marcanta,Cavarzere
Marcanta Coette Alte,Cavarzere
Marcanta 34,Cavarzere
Coette Alte Civico 34,Cavarzere
Rottanova Dolomiti,Cavarzere
Rottanova Dolomiti,Cavarzere
Rottanova Maddalena,Cavarzere
Rottanova Coette Basse,Cavarzere
Rottanova Coette Basse,Cavarzere
Rottanova Canale,Cavarzere
Rottanova Canale,Cavarzere
Conetta Rottanova,Cona
Rottanova Conetta,Cona
Tripoli Cona,Cona
Cona,Cona
Pegolotte Piera,Cona
Pegolotte Piera,Cona
Correzzola Cantarana,Correzzola
Correzzola Cantarana,Correzzola
Monsole Venezia,Cona
Monsole Venezia,Cona
Treponti Lovo,Correzzola
Treponti Lovo,Correzzola
Brenta d'Abba',Correzzola
Brenta d'Abba',Correzzola
Santa Margherita,Codevigo
Santa Margherita,Codevigo
Villa Del Bosco,Correzzola
Villa Del Bosco,Correzzola
Pegolotte,Cona
Pegolotte Piazza De Lotto,Cona
Pontelongo Garibaldi,Pontelongo
Pontelongo Garibaldi,Pontelongo
Pontelongo,Pontelongo
Pontelongo Stazione,Pontelongo
Arzerello,Piove di Sacco
Arzerello,Piove di Sacco
Arzarello regionale 516,Piove di Sacco
Arzergrande,Arzergrande
Arzergrande Roma,Arzergrande
Arzergrande Vallonga,Arzergrande
Codevigo,Codevigo
Rosara,Codevigo
Rosara Longo,Piove di Sacco
Piove di Sacco Fiumazzo,Piove di Sacco
Corte,Piove di Sacco
Corte,Piove di Sacco
Piove di Sacco Ramei,Piove di Sacco
Piove di Sacco,Piove di Sacco
Piove di Sacco Scuole,Piove di Sacco
Piove di Sacco Scuole,Piove di Sacco
Piove di Sacco Ospedale,Piove di Sacco
Rusteghello,Piove di Sacco
Piove di Sacco Rusteghell,Piove di Sacco
Piove di Sacco Ospedale,Piove di Sacco
Piove di Sacco,Piove di Sacco
Rosara Longo,Piove di Sacco
Piove di Sacco Fiumazzo,Piove di Sacco
Piove di Sacco Ramei,Piove di Sacco
Piove di Sacco Rotonda,Piove di Sacco
Piove di Sacco Rotonda,Piove di Sacco
Alto Adige Piera,Campolongo Maggiore
Alto Adige Piera,Campolongo Maggiore
Campolongo Alto Adige,Campolongo Maggiore
Campolongo Alto Adige,Campolongo Maggiore
Campolongo 8 Marzo,Campolongo Maggiore
Campolongo 8 Marzo,Campolongo Maggiore
Zara Giarre,Campolongo Maggiore
Zara Chiesetta,Piove di Sacco
Sampieri,Piove di Sacco
Sampieri,Piove di Sacco
Bojon,Campolongo Maggiore
Bojon,Campolongo Maggiore
Bojon,Campolongo Maggiore
Bojon,Campolongo Maggiore
Bojon Rivelli,Campolongo Maggiore
Bojon Rivelli,Campolongo Maggiore
Campolongo,Campolongo Maggiore
Campolongo,Campolongo Maggiore
Campolongo Pordoi,Campolongo Maggiore
Campolongo Pordoi,Campolongo Maggiore
Campolongo Piovega,Campolongo Maggiore
Campolongo Piovega,Campolongo Maggiore
Campolongo Liettoli,Campolongo Maggiore
Liettoli Trentino,Campolongo Maggiore
Sandon Chiusa,Campolongo Maggiore
Sandon Chiusa,Campolongo Maggiore
Sandon Toscana,Campolongo Maggiore
Sandon Toscana,Campolongo Maggiore
Sandon,Fossò
Sandon,Fossò
Fosso' Callesette,Fossò
Foso' Sud Callesette,Fossò
Fosso' Provinciale 17,Fossò
Fosso',Fossò
Fosso' Roncaglia,Fossò
Fosso' Roncaglia,Fossò
Fosso' Centro,Fossò
Fosso',Fossò
Fosso' Redipuglia,Fossò
Fosso' Redipuglia,Fossò
Galta Trieste,Vigonovo
Galta Trieste,Vigonovo
Galta Battisti,Vigonovo
Galta Centro,Vigonovo
Vigonovo De Gasperi,Vigonovo
Vigonovo Moro,Vigonovo
Roma Villamora,Vigonovo
Vigonovo Villamora,Vigonovo
Vigonza Bachelet,Vigonza
Vigonza Bachelet,Vigonza
Vigonza Santa Chiara,Vigonza
Vigonza Santa Chiara,Vigonza
Bojon Corsivola,Campolongo Maggiore
Bojon Corsivola,Campolongo Maggiore
Bojon,Campolongo Maggiore
Bojon,Campolongo Maggiore
Campolongo Sopracornio,Campolongo Maggiore
Campolongo Sopracornio,Campolongo Maggiore
Cornio,Campolongo Maggiore
Cornio,Camponogara
Bojon FS,Campolongo Maggiore
Bojon FS,Campolongo Maggiore
Campagna Lupia Lazzaretto,Campolongo Maggiore
Campagna Lupia Lazzaretto,Campolongo Maggiore
Campagna Lupia,Campagna Lupia
Campagna Lupia,Campagna Lupia
Premaore,Camponogara
Premaore,Camponogara
Camponogara Alighieri,Camponogara
Camponogara Alighieri,Camponogara
Prozzolo,Camponogara
Prozzolo,Camponogara
Prozzolo Chiesa,Camponogara
Prozzolo Chiesa,Camponogara
Camponogara Pascoli,Camponogara
Camponogara Pascoli,Camponogara
Camponogara Matteotti,Camponogara
Camponogara Matteotti,Camponogara
Camponogara IV Novembre,Camponogara
Camponogara IV Novembre,Camponogara
Camponogara Matteotti,Camponogara
Camponogara Matteotti,Camponogara
Camponogara Arzerini,Camponogara
Camponogara Arzerini,Camponogara
Camponogara Premaore,Camponogara
Camponogara Premaore,Camponogara
Fosso' Verdi,Fossò
Fosso' Verdi,Fossò
Camponogara Diedo,Camponogara
Camponogara Diedo,Camponogara
Calcroci Cavour,Camponogara
Calcroci Cavour,Camponogara
Calcroci Chiesa,Camponogara
Calcroci Volta,Camponogara
Camponogara Volta,Camponogara
Camponogara Volta,Camponogara
Lughetto Marzabotto,Campagna Lupia
Lughetto Marzabotto,Campagna Lupia
Marghera Romea,Campagna Lupia
Marghera Romea,Campagna Lupia
Camponogara Casino Rosso,Camponogara
Camponogara Casino Rosso,Camponogara
Dolo Marinelle,Dolo
Sambruson Marinelle,Dolo
Sambruson,Dolo
Sambruson,Dolo
Sanbruson Marco Polo,Dolo
Sanbruson Marco Polo,Dolo
Dolo Carrezzioi,Dolo
Sanbruson Carrezzioi,Dolo
Sanbruson Ferrovia,Dolo
Dolo Ferrovia,Dolo
Mira Montessori,Mira
Mira Montessori,Mira
Mira Campi,Mira
Mira Campi,Mira
Mira Piazza Vecchia,Mira
Mira Piazza Vecchia,Mira
Mira Bellini,Mira
Gambarare Bellini,Mira
Gambarare,Mira
Chiesa Gambarare,Mira
Mira Matteotti,Mira
Mira Municipio,Mira
Mira centro,Mira
Mira Alfieri,Mira
Mira Alighieri,Mira
Mira Alighieri,Mira
Mira Porte,Mira
Mira Porte,Mira
Mira Riscossa,Mira
Mira Albrizzi,Mira
Dolo Civico 75,Dolo
Dolo Manzoni,Dolo
Dolo Manzoni,Dolo
Dolo Monache,Dolo
Dolo Monache,Dolo
Dolo Doria,Dolo
Dolo Doria,Dolo
Dolo Guardiana,Dolo
Dolo Guardiana,Dolo
Dolo Alture,Dolo
Dolo Alture,Dolo
Camponogara Artigiani,Camponogara
Camponogara Artigiani,Camponogara
Campoverardo,Camponogara
Campoverardo,Camponogara
Campoverardo Centro,Camponogara
Campoverardo Centro,Camponogara
Campoverardo Civico 57,Camponogara
Campoverardo civico 57,Camponogara
Fosso' Favalli,Fossò
Fosso' Favalli,Fossò
Paluello Veneto,Stra
Paluello Veneto,Stra
Paluello,Stra
Paluello,Stra
Fiesso Padana,Fiesso d'Artico
Fiesso d'Artico Padana,Fiesso d'Artico
Fiesso Gemito,Fiesso d'Artico
Fiesso Gemito,Fiesso d'Artico
Dolo Centro,Dolo
Dolo Centro,Dolo
Fiesso D'Artico Bandiera,Fiesso d'Artico
Fiesso D'Artico Bandiera,Fiesso d'Artico
Fiesso D'Artico Centro,Fiesso d'Artico
Fiesso D'Artico Centro,Fiesso d'Artico
Fiesso D'Artico Pioghella,Fiesso d'Artico
Fiesso Pioghella,Fiesso d'Artico
Stra' Bassa,Stra
Stra' Bassa,Stra
San Pietro Minzoni,Stra
San Pietro Minzoni,Stra
San Pietro Isonzo,Stra
San Pietro Isonzo,Stra
Stra' San Pietro,Stra
Stra' San Pietro,Stra
Stra Crispino,Stra
Stra Loredan,Stra
Stra Piazza Marconi,Stra
Stra Piazza Marconi,Stra
Stra Dante,Stra
Stra Dante,Stra
Capriccio Centro,Vigonza
Capriccio Centro,Vigonza
Perarolo Quartiere Pavan,Vigonza
Perarolo Quartiere Pavan,Vigonza
Vigonza Perarolo,Vigonza
Vigonza Perarolo,Vigonza
Busa di Vigonza Centro,Vigonza
Busa di Vigonza Centro,Vigonza
Ponte di Brenta Centro,Padova
Ponte di Brenta Centro,Padova
Ponte di Brenta Lago,Padova
Ponte di Brenta Lago,Padova
Padova Est,Padova
Padova Est,Padova
Padova San Lazzaro,Padova
Padova San Lazzaro,Padova
Padova Turazza,Padova
Cazzago Pascoli,Pianiga
Cazzago Pascoli,Pianiga
Dolo Municipio,Dolo
Dolo Municipio,Dolo
Cazzago,Pianiga
Cazzago,Pianiga
Martellago Centro Anziani,Martellago
Cazzago,Pianiga
Scorze' Ortigara,Scorzè
Scorze' Ortigara,Scorzè
Cazzaghetto Industriale,Dolo
Cazzaghetto Industriale,Dolo
Cazzaghetto Parolini,Dolo
Cazzaghetto Parolini,Dolo
Cazzaghetto Arino,Dolo
Cazzaghetto Arino,Dolo
Pianiga Accoppe',Pianiga
Pianiga Accoppe',Pianiga
Pianiga Bosco,Pianiga
Pianiga Bosco,Pianiga
Pianiga,Pianiga
Pianiga Roma,Pianiga
Pianiga Roma,Pianiga
Pianiga Roma,Pianiga
Rivale Bosco,Pianiga
Pianiga Bosco,Pianiga
Rivale Chiesa,Pianiga
Rivale Chiesa,Pianiga
Mellaredo Cavinello,Pianiga
Pianiga Fratte,Pianiga
Pianiga Fratte,Mirano
Bernini Di Vittorio,Mira
Borromini Bernini,Mira
Maiano Alberti,Mira
Ballo' Stazione,Mirano
Ballo' Stazione,Mirano
Ballo' Cimitero,Mirano
Ballo' Cimitero,Mirano
Ballo' Mazzini,Mirano
Ballo' Mazzini,Mirano
Ballo' FS,Mirano
Ballo' FS,Mirano
Cazzago Trasimeno,Pianiga
Cazzago Trasimeno,Pianiga
Mira Ginestre,Mira
Miranese Ginestre,Mira
Mira Argine,Mira
Mira Argine,Mira
SFMR Spinea,Spinea
Mazzocco,Mogliano Veneto
Marano,Mira
Marano,Mira
Marano Caltana,Mira
Marano Caltana,Mira
Mirano Trescievoli,Mirano
MIrano Trescievoli,Mirano
Mirano Olmo,Mirano
MIrano Olmo,Mirano
MiranoTaglio Sinistro,Mirano
MiranoTaglio Sinistro,Mirano
Mirano Matteotti,Mirano
Mira Nazionale,Mira
Mirai Nazionale,Mira
Porara Gidoni,Mirano
Porara Gidoni,Mirano
Vigonza Sant' Andrea,Vigonza
Vigonza Sant'Andrea,Vigonza
Vetrego,Mirano
Scaltenigo Porara,Mirano
Scaltenigo Formigo,Mirano
Corte Piazza Monumento,Piove di Sacco
Scaltenigo Formigo,Mirano
Scaltenigo,Mirano
Scaltenigo,Mirano
Scaltenigo Caltana,Mirano
Scaltenigo Caltana,Mirano
Case Pugliero,Mirano
Case Pugliero,Mirano
Mirano Fratte,Mirano
Mirano Fratte,Mirano
Caltana via Chiesa,Mirano
Caltana via Chiesa,Mirano
Caltana Marinoni,Santa Maria di Sala
Salzano Lorenzetti,Salzano
Salzano Lorenzetti,Salzano
Oriago Sommo,Mira
Oriago Sommo,Mira
Mira Riscossa,Mira
Oriago Stazione,Mira
Oriago Romagna,Mira
Oriago Centro,Mira
Oriago Marche,Mira
Borbiago Friuli,Mira
Borbiago Friuli,Mira
Borbiago Sardegna,Mira
Borbiago Sardegna,Mira
Borbiago Milano,Mira
Borbiago Milano,Mira
Borbiago Centro,Mira
Borbiago,Mira
Borbiago Boldani,Mira
Borbiago Boldani,Mira
Mira San Monte,Mira
Mira San Monte,Mira
Caltana Sottopasso,Mira
Marano Sottopasso,Mira
Romea Giare,Mira
Romea Giare,Mira
Romea Bastie,Mira
