NOME FERMATA,COMUNE
Gambarare Bastie,Mira
Romea Ca' Balletto,Mira
Gambarare Ca' Balletto,Mira
Romea Malcanton,Mira
Romea Malcanton,Mira
San Pietro Chiesa,Cavarzere
San Pietro Civico 21,Cavarzere
San Pietro Pizzon,Cavarzere
San Pietro Gasdotto,Cavarzere
Argine Sinistro Civico 21,Cavarzere
Argine Sinistro Pizzon,Cavarzere
Argine Sinistro Gasdotto,Cavarzere
Cavarzere Boscochiaro,Cavarzere
Boscochiaro,Cavarzere
Cavarzere Sant' Antonio,Cavarzere
Cavarzere Grappa Canale,Cavarzere
Cavarzere Pontenovo,Cavarzere
Cavarzere Trieste,Cavarzere
Villaggio Busonera,Cavarzere
Stra Crispino,Stra
Stra Loredan,Stra
Santa Maria di Sala Grand,Santa Maria di Sala
Santa Maria di Sala Grand,Santa Maria di Sala
Caltana Pioga,Santa Maria di Sala
Caltana Pioga,Santa Maria di Sala
Caselle Madonna Mora,Santa Maria di Sala
Caselle Madonna Mora,Santa Maria di Sala
Santa Maria di Sala Casel,Santa Maria di Sala
Santa Maria di Sala Casel,Santa Maria di Sala
Santa Maria di SalaTabina,Santa Maria di Sala
Santa Maria di Sala Tabin,Santa Maria di Sala
Santa Maria di Sala Spall,Santa Maria di Sala
Santa Maria di Sala Spall,Santa Maria di Sala
Santa Maria di Sala,Santa Maria di Sala
Santa Maria di Sala,Santa Maria di Sala
Mirano localita' Botti,Mirano
Mirano Localita' Botti,Mirano
Mirano Bollati,Mirano
Mirano Bollati,Mirano
Mirano Varotara,Mirano
Mirano Varotara,Mirano
Mirano Caravaggio,Mirano
Mirano Caravaggio,Mirano
Mirano Modigliani,Mirano
Mirano Modigliani,Mirano
Santa Maria di Sala Luxor,Santa Maria di Sala
Santa Maria di Sala Luxor,Santa Maria di Sala
MIrano Grimani,Mirano
Mirano Grimani,Mirano
Mirano Perugino,Mirano
Mirano Battisti,Mirano
Mirano Battisti,Mirano
MIrano Gramsci,Mirano
MIrano Gramsci,Mirano
Mirano Pestrino,Mirano
Mirano Pestrino,Mirano
MIrano Centro,Mirano
Mirano Centro,Mirano
MIrano Dante,Mirano
Mirano Dante,Mirano
Mirano Cabotto,Mirano
Mirano Cabotto,Mirano
Ospedale Mirano,Mirano
Ospedale Mirano,Mirano
MIrano Treviso,Mirano
Mirano Carducci,Mirano
Mirano Carducci,Mirano
Mirano Mariutto,Mirano
Mirano  Minzoni,Mirano
Mirano  Minzoni,Mirano
Mirano  Civico 16,Mirano
Mirano  Civico 16,Mirano
Mirano Civico 97,Mirano
Mirano Civico 97,Mirano
Mirano Contarini,Mirano
Mirano Contarini,Mirano
Zianigo,Mirano
Zianigo,Mirano
Zianigo Desman,Mirano
Zianigo Desman,Mirano
Mirano localita' Fontana,Mirano
Mirano localita' Fontana,Mirano
Sant Angelo Noalese,Santa Maria di Sala
Sant Angelo Noalese,Santa Maria di Sala
Veternigo Pianiga,Santa Maria di Sala
Veternigo Pianiga,Santa Maria di Sala
Veternigo,Santa Maria di Sala
Veternigo,Santa Maria di Sala
Sant'Angelo Centro,Santa Maria di Sala
Sant'Angelo Centro,Santa Maria di Sala
Borgoricco,Borgoricco
Borgoricco,Borgoricco
Borgoricco Mussolini,Borgoricco
Borgorrico Sant Eufemia,Borgoricco
Sant Angelo Sole,Borgoricco
Sant Angelo Sole,Borgoricco
Mira Scuole,Mira
Dolo Presicci,Dolo
Dolo Presicci,Dolo
Camponogara Industria,Camponogara
Camponogara Industria,Camponogara
Fosso' Arzaroni,Fossò
Fosso' Arzaroni,Fossò
Ghebba Rubaldi,Mira
Ghebba Lusore,Mira
Ghebba Malpaga,Mira
Borgorrico Sant Eufemia,Borgoricco
Borgoricco Mussolini,Borgoricco
Mirano Fossa,Mirano
Mirano Fossa,Mirano
Spinea Repubblica,Spinea
Spinea Repubblica,Spinea
Spinea Zigarara,Spinea
Spinea Zigarara,Spinea
Spinea Luneo,Spinea
Spinea Luneo,Spinea
Maerne Centro,Martellago
Maerne Centro,Martellago
Mirano Boschette,Mirano
Mirano  Boschette,Mirano
MIrano Luneo,Mirano
Mirano Luneo,Mirano
Salzano Matteotti,Salzano
Salzano Matteotti,Salzano
Salzano De Gasperi,Salzano
Salzano De Gasperi,Salzano
Salzano Chiesa,Salzano
Salzano Chiesa,Salzano
Salzano Municipio,Salzano
Salzano Municipio,Salzano
Oraigo Adige,Mira
Oriago Venezia,Mira
Oriago Ferrovia,Mira
Mirano Cavin di Sala,Mirano
Oriago Marche,Mira
Scaltenigo,Mirano
Campocroce Cavin Caselle,Mirano
Campocroce Cavin Caselle,Mirano
Campocroce Cimitero,Mirano
Campocroce Cimitero,Mirano
Salzano Confalonieri,Salzano
Salzano Confalonieri,Salzano
Salzano Ponte Grasso,Salzano
Salzano Ponte Grasso,Salzano
Salzano Sogaretti,Salzano
Salzano Sogaretti,Salzano
Salzano Toscanino,Salzano
Salzano Toscanino,Salzano
Noale Lancerotto,Noale
Noale,Noale
Noale Ongari,Noale
Noale Ongari,Noale
Noale Bacchiglione,Noale
Noale Bacchiglione,Noale
Mestrina Spagnolo,Noale
Noale Spagnolo,Noale
Robegano Centro,Salzano
Robegano Centro,Salzano
Robegano Monte Grappa,Noale
Robegano Monte Grappa,Noale
Robegano Puccini,Salzano
Robegano Puccini,Salzano
Noale Zona Industriale,Noale
Noale Zona Industriale,Noale
Maerne Circonvallazione,Martellago
Maerne Circonvallazione,Martellago
Robegano 25 Aprile,Salzano
Robegano 25 Aprile,Salzano
Martellago Boschi,Martellago
Martellago Boschi,Martellago
Martellago Santo Stefano,Martellago
Martellago Santo Stefano,Martellago
Martellago Ca' Combi,Martellago
Martellago Ca' Combi,Martellago
Martellago Ca' Longo,Martellago
Martellago Ca' Longo,Martellago
Scorze' Romagna,Scorzè
Scorze' Romagna,Scorzè
Scorze' capolinea,Scorzè
Scorze' Ceccariolo,Scorzè
Scorze' Fermi,Scorzè
Scorze' Milano,Scorzè
Scorze' Milano,Scorzè
Scorze' Gagliardi,Scorzè
Scorze' Gagliardi,Scorzè
Trebaseleghe,Trebaseleghe
Trebaseleghe Pio X,Trebaseleghe
Trebaseleghe Pio X,Trebaseleghe
Campocroce Centro,Mirano
Campocroce Centro,Mirano
Mirano Borgo Zucchero,Mirano
Ballo' Borgo Zucchero,Mirano
Martellago Centro Anziani,Martellago
Gambarare Civico 94,Mira
Gambarare Civico 94,Mira
Trebaseleghe Manetti,Trebaseleghe
Trebaseleghe Manetti,Trebaseleghe
Scorze' San Benedetto,Scorzè
Scorze' San Benedetto,Scorzè
Rio San Martino,Scorzè
Cappella,Scorzè
Cappella,Scorzè
Scorze' Boschi,Scorzè
Scorze' Boschi,Scorzè
Scorze' Guido Rossa,Scorzè
Scorze' Guido Rossa,Scorzè
Martellago Guizza,Scorzè
Martellago Guizza,Scorzè
Peseggia  Canove,Scorzè
Peseggia  Canove,Scorzè
Peseggia,Scorzè
Peseggia,Scorzè
Gardigiano,Scorzè
Gardigiano,Scorzè
Peseggia  Vittorio Veneto,Scorzè
Peseggia  Vittorio Veneto,Scorzè
Peseggia Perosi,Scorzè
Peseggia  Perosi,Scorzè
Gardigiano Mattarella,Scorzè
Gardigiano Mattarella,Scorzè
Gardigiano Donato,Scorzè
Gardigiano Donato,Scorzè
Mogliano Ghetto,Mogliano Veneto
Mogliano Ghetto,Mogliano Veneto
Mogliano Don Bosco,Mogliano Veneto
Mogliano Centro,Mogliano Veneto
Mogliano Marconi,Mogliano Veneto
Mogliano Marconi,Mogliano Veneto
Campocroce,Preganziol
Campocroce,Preganziol
Perarolo Dalla Vecchia,Vigonza
Perarolo Dalla Vecchia,Vigonza
Campocroce Chiesa,Mogliano Veneto
Campocroce Chiesa,Mogliano Veneto
Mogliano Strazzariole,Mogliano Veneto
Mogliano Strazzariole,Mogliano Veneto
Mogliano  Busa,Mogliano Veneto
Mogliano Busa,Mogliano Veneto
Zero Branco Kennedy,Zero Branco
Zero Branco Primo Maggio,Zero Branco
Monte Grappa XXV Aprile,Salzano
Zero Branco Montiron,Zero Branco
Zero Branco Montiron,Zero Branco
Sant'Alberto,Zero Branco
Sant' Alberto,Zero Branco
Sant' Alberto Bellini,Zero Branco
Sant' Alberto Bellini,Zero Branco
Scandolara Pasteur,Zero Branco
Scandolara Pasteur,Zero Branco
Scandolara,Zero Branco
Scandolara,Zero Branco
Scandolara Onaro,Zero Branco
Scandolara Onaro,Zero Branco
Trebaseleghe,Trebaseleghe
Trebaseleghe,Trebaseleghe
Badoere,Morgano
Badoere D'Annunzio,Morgano
Badoere D'Annunzio,Morgano
Sambughe',Preganziol
Sambughe',Preganziol
Preganziol Gambino,Preganziol
Preganziol Municipio,Preganziol
Treviso Ghirada,Treviso
Treviso Selvatico,Treviso
Frescada,Preganziol
Dosson,Preganziol
SanTrovaso,Preganziol
Preganziol Baratta Nuova,Preganziol
Preganziol  Guizzetti,Preganziol
Le Grazie,Preganziol
ULSS,Preganziol
Treviso,Treviso
Perarolo Danzica,Vigonza
Treviso Ghirada,Treviso
Treviso Selvatico,Treviso
Frescada,Preganziol
Dosson,Preganziol
ULSS,Preganziol
San Trovaso,Preganziol
Le Grazie,Preganziol
Preganziol  Guizzetti,Preganziol
Preganziol  Baratta Nuova,Preganziol
Mogliano Don Bosco,Mogliano Veneto
Mogliano Municipio,Mogliano Veneto
Mogliano Cimitero,Mogliano Veneto
Mogliano Cimitero,Mogliano Veneto
Zermanesa Parini,Mogliano Veneto
Zermanesa Parini,Mogliano Veneto
Mogliano Scoutismo,Mogliano Veneto
Mogliano Scoutismo,Mogliano Veneto
Mogliano Cortellazzo,Mogliano Veneto
Mogliano Cortellazzo,Mogliano Veneto
Mogliano Torni,Mogliano Veneto
Zerman Chiesa,Mogliano Veneto
Mogliano Fermi,Mogliano Veneto
Mogliano Gris,Mogliano Veneto
Alta Milano,Marcon
Marcon Milano,Marcon
Marcon Genova,Marcon
Marcon Genova,Marcon
Marcon Ancona,Marcon
Marcon Ancona,Marcon
San Liberale Poianon,Marcon
San Liberale Poianon,Marcon
Quarto d'Altino FS,Quarto d'Altino
Quarto d'Altino FS,Quarto d'Altino
Quarto d'Altino Armstrong,Quarto d'Altino
Quarto d'Altino Armstrong,Quarto d'Altino
Quarto d'Altino Augusta,Quarto d'Altino
Quarto d'Altino,Quarto d'Altino
Quarto d'Altino,Quarto d'Altino
Quarto d'Altino Augusta,Quarto d'Altino
Quarto d'Altino Zanettin,Quarto d'Altino
Quarto d'Altino Zanettin,Quarto d'Altino
Quarto d'Altino zona indu,Quarto d'Altino
Quarto d'Altino Industrie,Quarto d'Altino
Casale sul Sile Matter,Casale sul Sile
Casale sul Sile Matter,Casale sul Sile
Casale Bivio Bonisiolo,Casale sul Sile
Casale sul Sile Bonisiolo,Casale sul Sile
Scorze' Municipio,Scorzè
Scorze' Municipio,Scorzè
Scorze' Crosarona,Scorzè
Scorze' Crosarona,Scorzè
Noale Crosariole,Noale
Noale Crosariole,Noale
Margherita Pioveghetta,Noale
Margherita Pioveghetta,Noale
Cappelletta Centro,Noale
Valsugana Bigolo,Noale
Moniego Centro,Noale
Moniego Centro,Noale
Moniego Treviso Vecchia,Noale
Noale Livenza,Noale
Noale Livenza,Noale
Salzano Scarlatti,Salzano
Volta Olmara,Scorzè
Localita' Malcanton,Mogliano Veneto
Fonda Scuola,Noale
Noale Dei Novale,Noale
Salzano Cimitero,Salzano
Salzano Cimitero,Salzano
Briana,Noale
Noale Valli,Noale
Sant Angelo Rivale,Santa Maria di Sala
Sant Angelo Rivale,Santa Maria di Sala
Caltana,Santa Maria di Sala
Caltana,Santa Maria di Sala
Santa Maria di Sala Garda,Santa Maria di Sala
Santa Maria di Sala Garda,Santa Maria di Sala
Santa Maria di Sala Torri,Santa Maria di Sala
Santa Maria di Sala Torri,Santa Maria di Sala
Mirano Galilei,Mirano
Mirano Galilei,Mirano
Romea Volto,Rosolina
Romea Volto,Rosolina
Rosolina,Rosolina
Mogliano San Michele,Mogliano Veneto
Mogliano Civico 83,Mogliano Veneto
Zerman Bonisiolo,Mogliano Veneto
Zerman Centro Sportivo,Mogliano Veneto
Casale sul Sile Chiesa,Casale sul Sile
San Liberale,Marcon
San Liberale,Marcon
Conetta Rottanova,Cona
Conetta Rottanova,Cona
Cona Lamarmora,Cona
Cona Lamarmora,Cona
Mogliano Marocchesa,Mogliano Veneto
Mogliano Marignana,Mogliano Veneto
Mogliano Rimini,Mogliano Veneto
Mogliano Ronzinella,Mogliano Veneto
Mogliano Zermanesa,Mogliano Veneto
Mogliano Ragazzi del 99,Mogliano Veneto
Mogliano Ragazzi del 99,Mogliano Veneto
Campocroce,Mogliano Veneto
Campocroce,Mogliano Veneto
Colmello,Mogliano Veneto
Colmello,Mogliano Veneto
Mirano Barbato,Mirano
Mirano Barbato,Mirano
Dolo Ospedale,Dolo
Dolo Ospedale,Dolo
Camponogara Centro,Camponogara
Camponogara,Camponogara
San Michele delle Badesse,Borgoricco
Localita' Malcanton,Mogliano Veneto
Zero Branco,Zero Branco
Zero Branco,Zero Branco
Fosso' Zona Industriale,Fossò
Fosso' Zona Industriale,Fossò
Fosso' Bosello,Fossò
Fosso' Bosello,Fossò
Rottanova Civico 18,Cavarzere
Stazione Pegolotte,Cona
Stazione Pegolotte,Cona
Corezzola,Correzzola
Corezzola,Correzzola
Cantarana Paese,Cona
Rosara,Codevigo
Rosara,Codevigo
Lova,Campagna Lupia
Lova,Campagna Lupia
Romea Canale Piccolo,Campagna Lupia
Romea Canale Piccolo,Campagna Lupia
Lugo,Campagna Lupia
Romea Lughetto,Campagna Lupia
Lugo,Campagna Lupia
Romea Lughetto,Campagna Lupia
Lugo Zona Industriale,Campagna Lupia
Lughetto Rampado,Campagna Lupia
Lughetto Rampado,Campagna Lupia
Lughetto,Campagna Lupia
Lughetto,Campagna Lupia
Lughetto Di Vittorio,Campagna Lupia
Lughetto Di Vittorio,Campagna Lupia
Adria Scuole,Adria
Adria Scuole,Adria
Cavarzere Capitello,Cavarzere
Cavarzere Acquamarza,Cavarzere
Cavarzere Punta Pali,Cavarzere
Cavarzere Ca' Briani,Cavarzere
Cavarzere Ca' Tron,Cavarzere
Cavarzere Tartaro,Cavarzere
Pettorazza Provinciale,Pettorazza Grimani
Pettorazza Provinciale,Pettorazza Grimani
Pettorazza Industriale,Pettorazza Grimani
Pettorazza Zona Industria,Pettorazza Grimani
Scaltenigo,Mirano
Corezzola Cantarana,Correzzola
Correzzola  Cantarana,Correzzola
Mellaredo Vivaldi,Pianiga
Mellaredo Vivaldi,Pianiga
Ferrovia Pionca,Dolo
Ferrovia Pionca,Dolo
Mogliano Terraglio,Mogliano Veneto
Mogliano Centro,Mogliano Veneto
Vetrego,Mirano
Vetrego Pra',Mirano
Vetrego Pra',Mirano
Mira Alfieri,Mira
Vetrego,Mirano
Monte Grappa XXV Aprile,Salzano
Salzano Roma,Salzano
Salzano Roma,Salzano
Cornarotta Scarlatti,Salzano
Scorze' Olmara,Scorzè
Martellago Friuli,Martellago
Martellago Friuli,Martellago
Mogliano Bellini,Mogliano Veneto
Mogliano Bellini,Mogliano Veneto
Mogliano Ragusa,Mogliano Veneto
Mogliano Ragusa,Mogliano Veneto
Mogliano dei Tulipani,Mogliano Veneto
Mogliano dei Tulipani,Mogliano Veneto
Maerne FS,Martellago
Mogliano Campi Sportivi,Mogliano Veneto
Mogliano Campi Sportivi,Mogliano Veneto
Santa Margherita,Codevigo
Santa Margherita,Codevigo
Codevigo Argine Sinistro,Codevigo
Codevigo Argine Sinistro,Codevigo
Codevigo Civico 13,Codevigo
Codevigo Civico 13,Codevigo
Conche,Codevigo
Conche,Codevigo
Cive' Paltana,Correzzola
Cive' Giovanni XXIII,Correzzola
Donato GiovanniXXIII,Correzzola
Cive' Mira,Correzzola
Cive' Mira,Correzzola
Rebosola Sista,Correzzola
Rebosola Sista,Correzzola
Rebosola Civico 343,Correzzola
Rebosola Civico 343,Correzzola
Rebosola Zennare,Correzzola
Rebosola Zennare,Correzzola
Rebosola Civico 167,Correzzola
Rebosola Civico 167,Correzzola
Valcerere Dolfina,Cavarzere
Valcerere Dolfina,Cavarzere
Cavarzere San Gaetano,Cavarzere
Cavarzere San Gaetano,Cavarzere
Dolfina Chilometro 9,Cavarzere
Dolfina Chilometro 9,Cavarzere
Dolfina Chiusa,Cavarzere
Dolfina Chiusa,Cavarzere
Boscochiaro Braghetta,Cavarzere
Boscochiaro Braghetta,Cavarzere
Dolfina,Cavarzere
Dolfina,Cavarzere
Cavarzere Strada Km 13,Cavarzere
Cavarzere Strada Km 13,Cavarzere
Cavarzere 13,Cavarzere
Cavarzere 13,Cavarzere
Cavarzere 244,Cavarzere
Cavarzere 244,Cavarzere
San Pietro,Cavarzere
San Pietro,Cavarzere
Dolo Seriola,Dolo
Dolo Seriola,Dolo
Mira Stazione FS,Mira
Pettorazza San Girolamo,Pettorazza Grimani
Noale Valli,Noale
Fonda Scuola,Noale
Valsugana Bigolo,Noale
Cappelletta Centro,Noale
Moniego Treviso Vecchia,Noale
Scorze' Venezia,Scorzè
Scorze' Venezia,Scorzè
Rio San Martino,Scorzè
Rio San Martino,Scorzè
Tabina,Santa Maria di Sala
Tabina,Scorzè
Scorze' Buonarroti,Scorzè
Scorze' Buonarroti,Scorzè
Scorze' Gallese,Scorzè
Scorze' Gallese,Scorzè
Borgoricco Croce Ruzza,Borgoricco
Borgoricco Croce Ruzza,Borgoricco
San Michele delle Badesse,Borgoricco
Borgoricco Industriale,Borgoricco
Scorze'  Da Vinci,Scorzè
Scorze' Da Vinci,Scorzè
Mogliano Municipio,Mogliano Veneto
Briana,Noale
Maerne Guardi,Martellago
Maerne Guardi,Martellago
Noale Lancerotto,Noale
Mirano Parini,Mirano
Mirano Parini,Mirano
Mira Mare Mediterraneo,Mira
Cavarzere Gorzone,Cavarzere
Cavarzere Brondolini,Cavarzere
Cavarzere Brondolini,Cavarzere
Cavarzere Mattei,Cavarzere
Rottanova Civico 18,Cavarzere
Oriago Romagna,Mira
Mirano Ospedale,Mirano
Mirano Miranese,Mirano
Mirano Treviso,Mirano
Mirano Delle Erbe,Mirano
Mirano Delle Erbe,Mirano
Vigonovo Centro,Vigonovo
Vigonovo,Vigonovo
Vigonovo 1 Maggio,Vigonovo
Vigonovo Roma,Vigonovo
Vigonovo Roma,Vigonovo
Matteotti Celeseo,Vigonovo
Mira Municipio,Mira
Calcroci,Camponogara
Calcroci,Camponogara
ProzzoloTogliatti,Camponogara
Gramsci Togliatti,Camponogara
Adria Molinterran,Adria
San Pietro Chiesa,Cavarzere
Dolo Civico 75,Dolo
Mira Albrizzi,Dolo
MIra centro,Mira
Oriago Stazione,Mira
Oriago Centro,Mira
Adria Errmont,Adria
Lugo Zona Industriale,Campagna Lupia
Maddalena Rottanova,Cavarzere
Adria Ospedale,Adria
Adria Ospedale,Adria
Fiesso D'Artico Barbariga,Fiesso d'Artico
Fiesso Barbariga,Fiesso d'Artico
Fiesso D'Artico Piove,Fiesso d'Artico
Fiesso Piove,Fiesso d'Artico
Mirano Colombo,Mirano
Mirano Colombo,Mirano
Mirano Vicenza,Mirano
Cavarzere Tartaro,Cavarzere
Cavarzere Ca' Tron,Cavarzere
Cavarzere 2 Ca' Briani,Cavarzere
Cavarzere Punta Pali,Cavarzere
Cavarzere Acquamarza,Cavarzere
Cavarzere Capitello,Cavarzere
Cavarzere 60,Cavarzere
Grignella Strada Poli,Cavarzere
Cavarzere Grignella,Cavarzere
Cavarzere Cuora,Cavarzere
Mogliano Tommasini,Mogliano Veneto
Mogliano Tommasini,Mogliano Veneto
Padova Turazza,Padova
Martellago Piazza Bertati,Martellago
Mirano Scuole,Mirano
Spinea Martiri,Spinea
Campoverardo Scuole,Camponogara
Campoverardo Scuole,Camponogara
Camponogara Arzerini,Camponogara
Pellico Arzerini,Camponogara
Mira Alfieri,Mira
Casale sul Sile Toniolo,Casale sul Sile
Casale sul Sile Toniolo,Casale sul Sile
Bonisiolo degli Angeli,Mogliano Veneto
Bonisiolo  degli Angeli,Mogliano Veneto
Bonisiolo Centro,Mogliano Veneto
Centro Bonisiolo,Mogliano Veneto
Mogliano Centro,Mogliano Veneto
Scorze' Moglianese,Scorzè
Scorze' Moglianese,Scorzè
Correzzola Sasso,Correzzola
Cavarzere Romea Bruso,Cona
Cona Localita' Bruso,Cona
Mira Riviera,Mira
Mira Riviera,Mira
Cappelletta Casone,Noale
Cappelletta Casone,Noale
Martellago Fapanni,Martellago
Martellago Fapanni,Martellago
Dolo Foro Boario,Dolo
Roncoduro Industriale,Mirano
Roncoduro Industriale,Mirano
Mirano Matteottti,Mirano
Mirano Matteotti,Mirano
Corte,Piove di Sacco
Corte Monumento,Piove di Sacco
Olmo Pellico,Martellago
Olmo Pellico,Martellago
Vigonovo Alfieri,Vigonovo
Vigonovo Alfieri,Vigonovo
Scorze' Roma,Scorzè
Lova San Marco,Campagna Lupia
Cavarzere Bellina,Cavarzere
Martellago Ariosto,Scorzè
Martellago Ariosto,Scorzè
Cavarzere Bellina,Cavarzere
Boscochiaro Liberazione,Cavarzere
Boscochiaro Liberazione,Cavarzere
Cavarzere Viola,Cavarzere
Cavarzere Viola,Cavarzere
Zerman,Mogliano Veneto
Quarto d'Altino Zona Indu,Quarto d'Altino
Mogliano Buratti,Mogliano Veneto
Mogliano Buratti,Mogliano Veneto
Boschetta,Mogliano Veneto
Boschetta,Mogliano Veneto
Adria Marconi,Adria
Adria Marconi,Adria
Adria Fs,Adria
Maerne Civico 83,Martellago
Maerne Civico 83,Martellago
Lova Resistenza,Campolongo Maggiore
Lova Resistenza,Campolongo Maggiore
Rottanova,Cavarzere
Rottanova,Cavarzere
Cona Zuccona,Cona
Cona Zuccona,Cona
Ballo' FS,Mirano
Dolo Veneto,Dolo
Dolo Pio X,Dolo
Mirano Meneghetti,Mirano
Mirano Meneghetti,Mirano
Mirano Firenze,Mirano
Mirano Gramsci,Mirano
Mira Porte,Mira
Mira Scuole,Mira
Mira Poste,Mira
Miranese Marano FS,Mira
Dolo Pio x,Dolo
Dolo Veneto,Dolo
Cavarzere Madonne,Cavarzere
Cavarzere Madonne,Cavarzere
Distributore,Mirano
Mira 25 Aprile,Mira
Mira 25 Aprile,Mira
Mirano Albinoni,Mirano
Porara Albinoni,Mirano
Noale Vernice,Noale
Noale Vernice,Noale
Mira Piscina,Mira
Bernini Pertini,Mira
Mira Alberti,Mira
Mira Bernini,Mira
Mira Pertini,Mira
Mira Di Vittorio,Mira
Mira Piscina,Mira
Mira Capolinea,Mira
Boscochiaro 4 Novembre,Cavarzere
Mogliano Meucci,Mogliano Veneto
Mogliano Meucci,Mogliano Veneto
Spinea Municipio,Spinea
Spinea Piazza Marconi,Spinea
Spinea Roma,Spinea
Spinea Roma,Spinea
Spinea Sarpi,Spinea
Spinea Grossi,Spinea
Spinea Sarpi,Spinea
Mira Alfieri,Mira
Crea Civico 8D,Spinea
Crea Civico 21,Spinea
Spinea Centro Sportivo,Spinea
Spinea Centro Sportivo,Spinea
Spinea Taormina,Spinea
Spinea Taormina,Spinea
Spinea Pastrengo,Spinea
Spinea Pastrengo,Spinea
Spinea Mion,Spinea
Spinea Mion,Spinea
Martellago Trieste,Martellago
Martellago Trieste,Martellago
Mogliano FS,Mogliano Veneto
Zero Branco Via Scandolar,Zero Branco
Ronzinella Fermata Di Ser,Mogliano Veneto
Ronzinella Fermata Di Ser,Mogliano Veneto
v.le dell' Industria Parc,Fossò
Maerne FS,Martellago
San Nicolo' Chiesa,Venezia
Ca' Bianca La Fontaine,Venezia
Malamocco Beato,Venezia
San Pietro Pennello 2,Venezia
San Pietro Pennello 2,Venezia
San Nicolo' Cipro,Venezia
D'Annunzio Duodo,Venezia
D'Annunzio Pola,Venezia
D'Annunzio Pola,Venezia
D'Annunzio Spiagge,Venezia
D'Annunzio Spiagge,Venezia
Gran Viale,Venezia
Gran Viale,Venezia
San Nicolo' Aquileia,Venezia
San Nicolo' Aquileia,Venezia
San Nicolo' Marco Polo,Venezia
San Nicolo' Marco Polo,Venezia
San Nicolo' Cipro,Venezia
Morandi Nicelli,Venezia
San Nicolo' Chiesa,Venezia
Ospizio Marino Cimitero,Venezia
San Nicolo',Venezia
Santa Maria Elisabetta,Venezia
Santa Maria Elisabetta,Venezia
Ospizio Marino Cimitero,Venezia
Gallo Contarini,Venezia
Gallo Contarini,Venezia
Gallo Barbarigo,Venezia
Gallo Barbarigo,Venezia
Gallo Morosini,Venezia
Gallo Morosini,Venezia
Gallo Sant'Antonio,Venezia
Gallo Sant'Antonio,Venezia
Gallo Morosini,Venezia
Gallo Loredan,Venezia
Gallo Torta,Venezia
Gallo Torta,Venezia
Colombo,Venezia
Colombo,Venezia
Marconi Coralli,Venezia
Marconi Coralli,Venezia
Marconi Loredan,Venezia
Marconi Loredan,Venezia
Palazzo del Cinema,Venezia
Palazzo del Cinema,Venezia
Marconi Marcello,Venezia
Marconi Marcello,Venezia
Marconi Fiume,Venezia
Marconi Fiume,Venezia
Marconi Des Bains,Venezia
Marconi Des Bains,Venezia
Gallo Galoppatoio,Venezia
Gallo Galoppatoio,Venezia
Gallo Biblioteca,Venezia
Gallo Biblioteca,Venezia
Gallo Dei Giunta,Venezia
Gallo Dei Giunta,Venezia
Gallo Dei Kirchmayer,Venezia
Gallo Dei Kirchmayer,Venezia
Gallo Giolito,Venezia
Malamocco Occhi,Venezia
Malamocco Occhi,Venezia
